date,uniqueID,max,min,humidity,steps
11/16/2020,Debleena,76,35,57,2181
10/20/2020,artificiallyintelligent,91,75.2,43,3245
10/21/2020,artificiallyintelligent,91,73.4,45,2243
10/22/2020,artificiallyintelligent,91,73,78,3468
10/23/2020,artificiallyintelligent,84.9,57,82,4678
10/24/2020,artificiallyintelligent,66.9,53.1,0,2468
10/25/2020,artificiallyintelligent,86,55,70,3211
10/26/2020,artificiallyintelligent,82,45,90,7890
10/27/2020,artificiallyintelligent,46,39.9,89,6780
10/28/2020,artificiallyintelligent,61,39,90,8974
10/29/2020,artificiallyintelligent,64,39.9,81,2212
10/30/2020,artificiallyintelligent,73,45,62,1345
10/31/2020,artificiallyintelligent,79,41,78,1200
11/1/2020,artificiallyintelligent,79,50,73,3566
11/2/2020,artificiallyintelligent,78.1,46.9,0,2245
11/3/2020,artificiallyintelligent,81,43,64,1344
11/4/2020,artificiallyintelligent,82,48,68,789
11/5/2020,artificiallyintelligent,82.9,57,86,4678
11/6/2020,artificiallyintelligent,80.1,64,86,3566
11/7/2020,artificiallyintelligent,72,59,80,1135
11/8/2020,artificiallyintelligent,73,64,86,658
11/9/2020,artificiallyintelligent,85,61,83,457
11/10/2020,artificiallyintelligent,82,65,86,786
11/11/2020,artificiallyintelligent,81,64,41,287
11/12/2020,artificiallyintelligent,84,58,58,356
11/13/2020,artificiallyintelligent,84,58,86,1995
11/14/2020,artificiallyintelligent,84,71,80,897
11/15/2020,artificiallyintelligent,73,60,63,688
11/16/2020,artificiallyintelligent,76,35,57,645
10/20/2020,jguerrero,91,75.2,43,4289
10/21/2020,jguerrero,91,73.4,45,11027
10/22/2020,jguerrero,91,73,78,6507
10/23/2020,jguerrero,84.9,57,82,8115
10/24/2020,jguerrero,66.9,53.1,0,14710
10/25/2020,jguerrero,86,55,70,6153
10/26/2020,jguerrero,82,45,90,4079
10/27/2020,jguerrero,46,39.9,89,2532
10/28/2020,jguerrero,61,39,90,5192
10/29/2020,jguerrero,64,39.9,81,11333
10/30/2020,jguerrero,73,45,62,4706
10/31/2020,jguerrero,79,41,78,21126
11/1/2020,jguerrero,79,50,73,5651
11/2/2020,jguerrero,78.1,46.9,0,6433
11/3/2020,jguerrero,81,43,64,5002
11/4/2020,jguerrero,82,48,68,7160
11/5/2020,jguerrero,82.9,57,86,8692
11/6/2020,jguerrero,80.1,64,86,623
11/7/2020,jguerrero,72,59,80,11255
11/8/2020,jguerrero,73,64,86,4007
11/9/2020,jguerrero,85,61,83,2425
11/10/2020,jguerrero,82,65,86,5185
11/11/2020,jguerrero,81,64,41,1779
11/12/2020,jguerrero,84,58,58,9459
11/13/2020,jguerrero,84,58,86,5356
